Date,Time,Location,Turbidity (NTUs),E. coli Sample (MPN/100 mL)
6/25/2020,9:10,Hwy 100 Boat Launch,,1
6/25/2020,9:25,Natchez Trace,,1
6/25/2020,9:35,Moran Rd. Bridge,,1
6/25/2020,10:10,Lowhead Dam,,1
7/1/2020,10:30,Lowhead Dam,,2400
7/1/2020,10:54,Moran Rd. Bridge,,2400
7/1/2020,11:04,Natchez Trace,,2400
7/1/2020,11:22,Hwy 100 Boat Launch,,2400
7/1/2020,11:40,Coley Davis,,1400
7/2/2020,10:05,Coley Davis,,980
7/2/2020,10:15,Hwy 100 Boat Launch,,920
7/2/2020,10:35,Natchez Trace,,1300
7/2/2020,10:42,Moran Rd. Bridge,,1400
7/2/2020,11:10,Lowhead Dam,,1100
7/8/2020,9:35,Coley Davis,,330
7/8/2020,9:50,Hwy 100 Boat Launch,,230
7/8/2020,10:15,Natchez Trace,,370
7/8/2020,10:25,Moran Rd. Bridge,,290
7/8/2020,10:55,Lowhead Dam,,550
7/10/2020,9:05,Coley Davis,,230
7/10/2020,9:20,Hwy 100 Boat Launch,,240
7/10/2020,9:35,Natchez Trace,,170
7/10/2020,9:45,Moran Rd. Bridge,,280
7/10/2020,10:04,Lowhead Dam,,290
7/16/2020,9:20,Coley Davis,,190
7/16/2020,9:35,Hwy 100 Boat Launch,,76
7/16/2020,9:45,Natchez Trace,,68
7/16/2020,10:00,Moran Rd. Bridge,,78
7/16/2020,10:25,Lowhead Dam,,170
7/17/2020,9:00,Coley Davis,,340
7/17/2020,9:14,Hwy 100 Boat Launch,,78
7/17/2020,9:26,Natchez Trace,,150
7/17/2020,9:38,Moran Rd. Bridge,,120
7/17/2020,9:57,Lowhead Dam,,190
7/23/2020,9:49,Coley Davis,,120
7/23/2020,10:06,Hwy 100 Boat Launch,,74
7/23/2020,10:18,Natchez Trace,,330
7/23/2020,10:30,Moran Rd. Bridge,,2400
7/23/2020,10:53,Lowhead Dam,,870
7/29/2020,8:40,Coley Davis,,160
7/29/2020,8:57,Hwy 100 Boat Launch,,48
7/29/2020,9:12,Natchez Trace,,100
7/29/2020,9:20,Moran Rd. Bridge,,70
7/29/2020,9:46,Lowhead Dam,,110
8/5/2020,9:30,Coley Davis,,310
8/5/2020,9:50,Hwy 100 Boat Launch,,290
8/5/2020,10:07,Natchez Trace,,290
8/5/2020,10:18,Moran Rd. Bridge,,370
8/5/2020,10:36,Lowhead Dam,,230
8/12/2020,9:56,Coley Davis,,150
8/12/2020,10:17,Hwy 70,,43
8/12/2020,10:45,Hwy 100 Boat Launch,,250
8/12/2020,11:16,Lowhead Dam,,210
8/12/2020,12:04,Percy Priest,,4
8/19/2020,9:00,Hwy 70,,140
8/19/2020,9:33,Hwy 100 Boat Launch,,110
8/19/2020,9:50,Moran Rd. Bridge,,93
8/19/2020,10:15,Lowhead Dam,,160
8/19/2020,11:05,Percy Priest,,16
9/3/2020,9:45,Hwy 70,,1200
9/3/2020,10:15,Hwy 100 Boat Launch,,1100
9/3/2020,11:18,Richland Creek,,1600
9/3/2020,11:42,Moran Rd. Bridge,,730
9/3/2020,12:50,Lowhead Dam,,410
9/24/2020,10:30,Hwy 70,,50
9/24/2020,11:02,Hwy 100 Boat Launch,,140
9/24/2020,10:36,Richland Creek,,170
9/24/2020,11:16,Moran Rd. Bridge,,130
9/24/2020,11:45,Lowhead Dam,,140
10/8/2020,10:40,Hwy 70,,39
10/8/2020,11:30,Hwy 100 Boat Launch,,56
10/8/2020,9:48,Richland Creek,,100
10/8/2020,10:36,Moran Rd. Bridge,,160
10/8/2020,10:58,Lowhead Dam,,76
10/29/2020,10:20,Hwy 100 Boat Launch,,2000
10/29/2020,9:45,Hwy 70,,2400
10/29/2020,10:04,Richland Creek,,2400
10/29/2020,11:15,Moran Rd. Bridge,,2400
10/29/2020,11:48,Lowhead Dam,,2400
6/29/2021,9:25,Richland Creek,,130
6/29/2021,10:44,Jackson Blvd,,56
6/29/2021,10:24,Hwy 100 Boat Launch,,98
6/29/2021,9:53,Moran Rd. Bridge,,99
6/29/2021,8:26,Lewisburg Pike,,160
6/29/2021,10:28,Mill Creek Greenway,,50
6/29/2021,6:34,Whitsett Park,,50
7/6/2021,8:08,Richland Creek,,290
7/6/2021,8:29,Jackson Blvd,,99
7/6/2021,10:45,Hwy 70,,13
7/6/2021,8:10,Hwy 100 Boat Launch,,40
7/6/2021,9:00,Moran Rd. Bridge,,74
7/6/2021,9:23,Lewisburg Pike,,150
7/6/2021,12:22,Mill Creek Greenway,,58
7/6/2021,12:50,Whitsett Park,,23
7/13/2021,8:00,Richland Creek,,660
7/13/2021,8:11,Jackson Blvd,,480
7/13/2021,9:36,Hwy 70,,33
7/13/2021,11:03,Hwy 100 Boat Launch,,78
7/13/2021,13:30,Moran Rd. Bridge,,74
7/13/2021,8:43,Lewisburg Pike,,370
7/13/2021,12:36,Mill Creek Greenway,,310
7/13/2021,6:50,Whitsett Park,,160
7/20/2021,10:06,Richland Creek,8.395,340
7/20/2021,9:45,Jackson Blvd,4.155,460
7/20/2021,9:45,Hwy 70,16.81,96
7/20/2021,8:25,Hwy 100 Boat Launch,,200
7/20/2021,1:30,Moran Rd. Bridge,14.555,74
7/20/2021,8:17,Lewisburg Pike,19.13,120
7/20/2021,1:09,Mill Creek Greenway,,690
7/20/2021,2:30,Whitsett Park,,550
7/27/2021,9:05,Richland Creek,,520
7/27/2021,9:57,Jackson Blvd,,280
7/27/2021,8:30,Hwy 70,,91
7/27/2021,10:40,Hwy 100 Boat Launch,,100
7/27/2021,,Moran Rd. Bridge,,46
7/27/2021,,,,
7/27/2021,12:21,Mill Creek Greenway,12.4,1200
7/27/2021,7:59,Whitsett Park,,1400
8/3/2021,9:15,Richland Creek,1.025,580
8/3/2021,9:22,Jackson Blvd,0.805,820
8/3/2021,9:00,Hwy 70,15.135,190
8/3/2021,11:00,Hwy 100 Boat Launch,14.06,120
8/3/2021,13:00,Moran Rd. Bridge,10.145,81
8/3/2021,8:57,Lewisburg Pike,,120
8/3/2021,11:52,Mill Creek Greenway,12.07,610
8/3/2021,7:12,Whitsett Park,10.035,490
8/10/2021,5:45,Richland Creek,3.345,1600
8/10/2021,8:26,Jackson Blvd,0.48,230
8/10/2021,9:50,Hwy 70,5.525,35
8/10/2021,,Hwy 100 Boat Launch,,
8/10/2021,11:00,Moran Rd. Bridge,13.76,120
8/10/2021,8:37,Lewisburg Pike,,50
8/10/2021,11:50,Mill Creek Greenway,5.275,54
8/10/2021,7:06,Whitsett Park,21.75,120
8/17/2021,,Richland Creek,,
8/17/2021,9:35,Jackson Blvd,0.85,
8/17/2021,12:10,Hwy 70,,98
8/17/2021,11:05,Hwy 100 Boat Launch,31.2,110
8/17/2021,13:20,Moran Rd. Bridge,19.7,91
8/17/2021,,Lewisburg Pike,,
8/17/2021,11:22,Mill Creek Greenway,4.19,360
8/17/2021,,Whitsett Park,7.93,
8/24/2021,,Richland Creek,,
8/24/2021,9:38,Jackson Blvd,0.115,87
8/24/2021,,Hwy 70,37.7,160
8/24/2021,8:40,Hwy 100 Boat Launch,42.45,340
8/24/2021,12:30,Moran Rd. Bridge,37,370
8/24/2021,8:18,Lewisburg Pike,26.8,230
8/24/2021,11:09,Mill Creek Greenway,5.445,260
8/24/2021,13:30,Whitsett Park,5.9,180
9/7/2021,12:40,Richland Creek,1.145,130
9/7/2021,9:28,Jackson Blvd,0.09,310
9/7/2021,8:30,Hwy 70,7.5,91
9/7/2021,12:07,Hwy 100 Boat Launch,9.72,130
9/7/2021,8:57,Moran Rd. Bridge,9.525,170
9/7/2021,8:25,Lewisburg Pike,7.8,100
9/7/2021,9:14,Mill Creek Greenway,1.77,390
9/7/2021,7:27,Whitsett Park,3.91,180
9/14/2021,9:00,Richland Creek,1.885,260
9/14/2021,7:32,Jackson Blvd,0.54,80
9/14/2021,10:25,Hwy 70,5.21,39
9/14/2021,9:00,Hwy 100 Boat Launch,5.25,72
9/14/2021,14:00,Moran Rd. Bridge,4.255,27
9/14/2021,8:26,Lewisburg Pike,11.695,160
9/14/2021,11:30,Mill Creek Greenway,3.865,78
9/14/2021,8:21,Whitsett Park,3.435,190
9/28/2021,12:55,Richland Creek,0.985,200
9/28/2021,10:04,Jackson Blvd,0.88,240
9/28/2021,9:35,Hwy 70,6.815,82
9/28/2021,8:55,Hwy 100 Boat Launch,8.29,150
9/28/2021,14:00,Moran Rd. Bridge,6.665,190
9/28/2021,,Lewisburg Pike,,
9/28/2021,12:22,Mill Creek Greenway,2.535,330
9/28/2021,7:22,Whitsett Park,3.88,240
10/5/2021,12:45,Richland Creek,0.66,1200
10/5/2021,11:05,Jackson Blvd,0.215,650
10/5/2021,11:30,Hwy 70,2.725,110
10/5/2021,9:10,Hwy 100 Boat Launch,2.605,62
10/5/2021,,Moran Rd. Bridge,,
10/5/2021,8:25,Lewisburg Pike,2.535,59
10/5/2021,11:00,Mill Creek Greenway,1.595,210
10/5/2021,7:18,Whitsett Park,2.97,290
10/12/2021,12:50,Richland Creek,1.715,160
10/12/2021,10:11,Jackson Blvd,0.48,690
10/12/2021,,Hwy 70,,
10/12/2021,9:07,Hwy 100 Boat Launch,6.545,72
10/12/2021,,Moran Rd. Bridge,,
10/12/2021,8:21,Lewisburg Pike,18.95,88
10/12/2021,11:37,Mill Creek Greenway,1.95,290
10/12/2021,7:27,Whitsett Park,4.195,410
10/19/2021,12:50,Richland Creek,0.235,73
10/19/2021,11:16,Jackson Blvd,0.07,170
10/19/2021,,Hwy 70,,
10/19/2021,14:30,Hwy 100 Boat Launch,2.015,50
10/19/2021,13:00,Moran Rd. Bridge,2.41,55
10/19/2021,,Lewisburg Pike,,
10/19/2021,12:15,Mill Creek Greenway,1.935,88
10/19/2021,8:48,Whitsett Park,1.055,160
10/26/2021,12:50,Richland Creek,3.835,1600
10/26/2021,9:44,Jackson Blvd,1.425,1300
10/26/2021,10:24,Hwy 70,6.97,1300
10/26/2021,12:04,Hwy 100 Boat Launch,9.855,920
10/26/2021,13:20,Moran Rd. Bridge,5.37,1700
10/26/2021,8:19,Lewisburg Pike,5.54,980
10/26/2021,12:10,Mill Creek Greenway,11.555,2400
10/26/2021,7:05,Whitsett Park,6.56,2000
5/24/2022,8:35,Lewisburg Pike,11.175,206.4
5/24/2022,8:45,Mill Creek Greenway,7.385,105.4
5/24/2022,9:18,Richland Creek,2.175,204.6
5/24/2022,11:32,Hwy 100 Boat Launch,11.255,122.3
5/24/2022,10:49,Jackson Blvd,2.34,387.3
5/24/2022,11:58,Moran Rd. Bridge,31.9,105.4
5/31/2022,8:00,Hwy 70,6.12,113
5/31/2022,11:44,Hwy 100 Boat Launch,9.07,56.1
5/31/2022,10:51,Jackson Blvd,0.62,488.4
5/31/2022,9:00,Lewisburg Pike,10.175,261.3
5/31/2022,10:04,Moran Rd. Bridge,9.62,122.3
5/31/2022,7:49,Mill Creek Greenway,5.595,160.7
5/31/2022,9:05,Richland Creek,1.58,206.4
6/7/2022,8:25,Moran Rd. Bridge,10.455,122.4
6/7/2022,11:00,Lewisburg Pike,10.245,488.4
6/7/2022,8:35,Mill Creek Greenway,28.8,332.8
6/7/2022,8:00,Hwy 70,6.76,28.5
6/7/2022,8:50,Richland Creek,5.835,2419.6
6/7/2022,10:49,Jackson Blvd,1.975,2419.6
6/7/2022,13:15,West Fork Browns Creek,1.15,1413.6
6/7/2022,12:45,Whites Creek,19.25,2419.6
6/7/2022,11:45,Hwy 100 Boat Launch,4.48,190.4
6/14/2022,11:50,Lewisburg Pike,9.56,191.8
6/14/2022,9:40,Mill Creek Greenway,16.96,56.1
6/14/2022,8:04,Richland Creek,5.75,727
6/14/2022,10:14,Hwy 100 Boat Launch,10.07,161.6
6/14/2022,9:40,Jackson Blvd,1.655,
6/14/2022,11:37,Moran Rd. Bridge,9.805,178.5
6/14/2022,8:00,Hwy 70,5.74,48.7
6/14/2022,11:35,West Fork Browns Creek,1.15,225.4
6/14/2022,11:15,Whites Creek,4.275,117.8
6/14/2022,10:00,Whitsett Park,5.79,191.8
6/21/2022,  9:30 AM,Lewisburg Pike,8.78,387.3
6/21/2022,8:35,Mill Creek Greenway,6.785,111.2
6/21/2022,8:25,Richland Creek,1.16,30.1
6/21/2022,11:21,Hwy 100 Boat Launch,10.515,110.6
6/21/2022,12:05,Jackson Blvd,4.805,387.3
6/21/2022,11:52,Moran Rd. Bridge,15.265,135.4
6/21/2022,,Hwy 70,8.765,32.3
6/21/2022,10:54,West Fork Browns Creek,0.64,365.4
6/21/2022,10:30,Whites Creek,7.855,127.4
6/21/2022,10:00,Whitsett Park,7.4,204.6
6/28/2022,  10:20,Lewisburg Pike,7.275,118.7
6/28/2022,8:23,Mill Creek Greenway,3.67,143.9
6/28/2022,8:45,Richland Creek,1.465,88.6
6/28/2022,10:47,Hwy 100 Boat Launch,13.72,1986.3
6/28/2022,10:45,Jackson Blvd,1.585,198.9
6/28/2022,7:42,Moran Rd. Bridge,14.195,78.9
6/28/2022,10:00,Hwy 70,11.065,29.2
6/28/2022,11:33,West Fork Browns Creek,11.745,648.8
6/28/2022,11:05,Whites Creek,4.165,90.8
6/28/2022,10:45,Whitsett Park,9.205,88.6
7/12/2022,7:30,Lewisburg Pike,16.965,179.3
7/11/2022,2:02,Mill Creek Greenway,1.37,50.4
7/12/2022,8:45,Richland Creek,1.875,98.8
7/12/2022,11:58,Hwy 100 Boat Launch,19.75,93.3
7/12/2022,9:22,Jackson Blvd,1.275,104.3
7/12/2022,10:03,Moran Rd. Bridge,17.825,51.2
7/12/2022,9:05,Hwy 70,13.89,59.8
7/12/2022,11:00,West Fork Browns Creek,2.33,517.2
7/12/2022,9:35,Whites Creek,5.575,517.2
7/12/2022,9:50,Whitsett Park,10.94,517.2
7/19/2022,10:20,Lewisburg Pike,11.27,137.4
7/19/2022,,Mill Creek Greenway,4.245,238.2
7/19/2022,8:50,Richland Creek,3.72,222.4
7/19/2022,11:32,Hwy 100 Boat Launch,16.74,42.8
7/19/2022,9:49,Jackson Blvd,1.495,517.2
7/19/2022,7:44,Moran Rd. Bridge,19.7,151.5
7/19/2022,9:30,Hwy 70,14.645,1203.3
7/19/2022,10:24,West Fork Browns Creek,1.785,1046.2
7/19/2022,10:15,Whites Creek,17.73,1203.3
7/19/2022,10:20,Whitsett Park,7.67,387.3
7/26/2022,9:41,Lewisburg Pike,13.675,72.7
7/26/2022,11:05,Mill Creek Greenway,12.52,107.1
7/26/2022,8:40,Richland Creek,3.99,2419.6
7/26/2022,10:55,Hwy 100 Boat Launch,22.45,48
7/26/2022,10:24,Jackson Blvd,2.64,613.1
7/26/2022,10:56,Moran Rd. Bridge,17.95,261.3
7/26/2022,8:00,Hwy 70,36.7,103.9
7/26/2022,9:30,West Fork Browns Creek,9.305,435.2
7/26/2022,,Whites Creek,,
7/26/2022,9:30,Whitsett Park,10.97,209.8
8/2/2022,8:53,Lewisburg Pike,14.875,
8/2/2022,,Mill Creek Greenway,,
8/2/2022,8:50,Richland Creek,3,
8/2/2022,11:15,Hwy 100 Boat Launch,16.325,
8/2/2022,9:39,Jackson Blvd,1.825,
8/2/2022,7:44,Moran Rd. Bridge,23.75,
8/2/2022,9:45,Hwy 70,26.3,
8/2/2022,9:23,West Fork Browns Creek,2.78,
8/2/2022,11:03,Whites Creek,4.17,
8/2/2022,9:15,Whitsett Park,4.735,
8/16/2022,8:55,Lewisburg Pike,13.555,191.8
8/16/2022,8:35,Richland Creek,1.97,579.4
8/16/2022,11:00,Hwy 100 Boat Launch,17.83,73.8
8/16/2022,10:07,Jackson Blvd,1.355,727
8/16/2022,10:15,Moran Rd. Bridge,13.18,49.6
8/16/2022,8:30,Hwy 70,15.3,31.1
8/16/2022,10:55,West Fork Browns Creek,1.845,920.8
8/16/2022,10:55,Whitsett Park,7.1,98.5
8/23/2022,10:45,Lewisburg Pike,28.75,686.7
8/23/2022,8:55,Richland Creek,2.065,579.4
8/23/2022,9:19,Hwy 100 Boat Launch,44.9,139.1
8/23/2022,9:24,Jackson Blvd,1.33,167.4
8/23/2022,9:14,Moran Rd. Bridge,60.7,501.2
8/23/2022,8:45,Hwy 70,15.68,86.7
8/23/2022,10:18,West Fork Browns Creek,10.88,866.4
8/23/2022,10:20,Mill Creek Greenway,5.395,228.2
8/30/2022,11:10,Lewisburg Pike,23.9,648.8
8/30/2022,9:58,Hwy 100 Boat Launch,28.8,248.9
8/30/2022,9:22,Jackson Blvd,1,648.8
8/30/2022,8:01,Moran Rd. Bridge,31.6,325.5
8/30/2022,8:35,Hwy 70,346.5,1553.1
8/30/2022,10:33,West Fork Browns Creek,1.87,547.5
8/30/2022,10:20,Mill Creek Greenway,4,290.9
